"order_year_month","pickup_shop_name","Sillim_dong","Jowon_dong","Guro2_dong","Sindorim_dong","Doksan3_dong","Mok_dong","Dangsandong4_ga","Dangsandong5_ga","Daerim2_dong","Mullaedong3_ga","Yangpyeongdong3_ga","Yangpyeongdong4_ga","Yeouido_dong"
"2022-11",픽업존(유승상가),,,,,,51315800,,,,2748000,,,
"2022-11",픽업존(메이비카페),,,2149800,,837700,9565500,,,11978700,325300,,,
"2022-11",픽업존(서울드림신용협동조합),,,,9418500,,,,,,76100,,,
"2022-11",픽업존(GS25 목동3동점),,,,179400,,8660200,,,,,,,
"2022-11",픽업존(참맛부대찌개아구찜),,,,,,,,,,6137600,,,
"2022-11",픽업존(GS영등포당산점),,,,,72000,813400,10493300,21598900,,,2232800,1193600,173700
"2022-11",픽업존(다이소 난곡사거리점),10452400,,,,1477100,,,,88600,,,,84900
"2022-11",픽업존(더현대서울),,,,,,,,,,,,,1199500
