pickup_shop_name,region_1depth_name,region_2depth_name,region_3depth_name,h_code,x,y
픽업존(메이비카페),서울,구로구,구로동,1153054000,37.4849288,126.9002594
픽업존(다이소 난곡사거리점),서울,관악구,신림동,1162076500,37.48145951,126.9142068
픽업존(서울드림신용협동조합),서울,구로구,신도림동,1153051000,37.5095675,126.8820361
픽업존(참맛부대찌개아구찜),서울,영등포구,문래동3가,1156060500,37.51627575,126.8973904
픽업존(GS영등포당산점),서울,영등포구,당산동5가,1156056000,37.53237867,126.8968009
픽업존(유승상가),서울,양천구,목동,1147055000,37.5398954,126.881942
픽업존(GS25 목동3동점),서울,양천구,목동,1147053000,37.54638929,126.8644345
픽업존(더현대서울),서울,영등포구,여의도동,1156054000,37.52519132,126.9291128
